price,address,area,bedrooms,toilets,floors,other_features
,,,,,,
,,,,,,
,,,,,,
,"trung tâm Quận 5, sát Quận 1, Quận 10.",,,,2.0,
,,,,,,
,,,4.0,,,
,,,,,3.0,
,"khá Vị trí, đường số 9, nằm giữa Ql1k và đường số 11, đi lại khắp nơi.",,3.0,,,
130.0,,425.0,,,6.0,
,"sát đường Phạm Văn Đồng, chợ Thủ Đức, con đường kinh doanh sầm uất, đa ngành nghề.",180.0,,,,
,nhà nằm gần trường cấp 2 Tứ Liên.,,4.0,,4.0,"4 tầng, cầu thang giữa mỗi tầng có 2 phòng, vệ sinh. Tổng có 4 phòng ngủ. Tầng 4 là phòng thời, khu giặt giũ, sân phơi."
,"nằm cách mặt phố 1 nhà, lõi Ba Đình, tiện ích ngập tràn, tuyến phố đẹp nhất Quận, vài bước chân ra Lotte, khách sạn Daewoo. Khu vực tập trung rất nhiều người Hàn Quốc, Nhật Bản sinh sống và làm việc.",,,,,
,"TT Quận 11, Trục Đường 32, MTKD đỉnh, Cho thuê thu nhập 100tr.th.",,,,,
5.95,,,,,6.0,"6 tầng, mỗi tầng 1 phòng khép kín"
,,,,,,
,,54.0,,,3.0,
,"khu vực kinh doanh sầm uất, tấp nập. Thích hợp xây cao ốc, văn phòng, khách sạn, showroom hoặc kinh doanh buôn bán .",,,,,
,,75.0,,,4.0,
,"Gần ngã tư bến cá,ngay hồ câu Quốc Thịnh. Cách đường hương lộ 7 khoảng 100m",,3.0,,,
,,75.0,,,,
,"trung tâm quận Đống Đa ngõ thông tứ tung, di chuyển đi đâu cũng tiện, an ninh cực tốt.",,,,4.0,
,,,,,,
,,,,,3.0,
,,37.0,,,,
,,30.0,,,5.0,
,,,,,,
,đẹp rất nhiều nhà hàng khách sạn các tiện ích đầy đủ không thiếu thứ gì.,,,,6.0,
,,,,,4.0,
16.0,"cực đẹp, nhà phố riêng biệt nằm trong khu Biệt Thự cao cấp Q2 nên rất an ninh.",,,,,
,"giao thông thuận tiện,dịch vụ tiện ích đầy đủ, gần trường học các cấp, gần chợ, đại học....",,3.0,,,
,"Khu VIP trung tâm Ba Đình, ngõ to rộng ô tô ra vào thoải mái, nhà cách ô tô dừng đỗ 70m, cách mặt phố 150m, 500m ngay LOTTE Liễu Giai, Hồ Tây hóng gió.",,,,5.0,
,,,1.0,,,
,,,,,,
,"gần trường học  mầm non, gần chợ, gần siêu thị,....",55.3,,,,
,,,,,,
15.8,"gần công viên Cao Đức Lân, tiện di chuyển, thích hợp làm văn phòng hay ở",,,,,
,,138.0,,,,
,,57.0,,,4.0,
,"giao thông thuận tiện tương lai tuyến Mettro đi qua, chợ vải Tân Bình, Quận 10 Quận 3 Quận 1 kế",,,,,
,,,,,,
,,31.0,,,3.0,
,,36.0,,,4.0,
,,80.0,,,,
,"như trên hình, vừa đất, vừa nhà mà giá chỉ từ 1,9 tỷcăn, bao gồm",,,,,
,,,,,,
,,,,,,
,,,,,4.0,
,"Đẹp, đường nhựa trước nhà 12m, vỉa hè 3m, cách mặt tiền đường Phạm Hùng chỉ vài bước chân, gần cầu Chánh Hưng, thông ra khu dân cư Cao Lỗ, xe cộ ra vào nhộn nhịp, tiện lưu thông qua các tuyến đường và các Quận lân cận.",,,,,
,,,,,,
,"Mặt tiền đường 12m, gần đường Phạm Hùng, cầu Chánh Hưng, thông ra đường Cao Lỗ, xe cộ ra vào tấp nập, tiện lưu thông qua các Quận tiếp giáp.",,,,,
,,52.9,,,,
,"cách Hương Lộ 45 khoảng 300m, cách thôn Trung Vĩnh Phương 500m, cách sông 300m, cách chợ Vĩnh Phương 1.4km, cách trường tiểu học Diên Phú 1.7km,...",83.6,,,,
,"cách sông 200m, cách bệnh viện đa khoa 750m, cách siêu thị 900m, cách đường Cầu Dứa Phú Nông 200m, cách chợ Vĩnh Ngọc 1.3km, cách trường Quốc Tế 600m,...",58.3,,,,
,,,,,,
,,,,,5.0,
,"Trung tâm quận Tân Phú, trên mặt đường Trường Chinh, gần Chế Lan Viên, Cộng Hoà, Tân Kỳ Tân Quý, Tân Sơn Nhì.",,,,2.0,"2 tầng, 2PN, 2WC, thiết bị điện nước mới tinh, máy năng lượng mặt trời mới lắp, máy lạnh xịn, chủ tặng hết nội thất, nhà mới đẹp xách vali vào ở thôi ."
,"trung tâm của khu vực, đường thông ngõ thoáng, cách ô tô tránh 10m rất thuận tiện",30.0,,,,
,"trung tâm kinh doanh, văn phòng ở cực sướng. Tiện ích xung quanh nhà chỉ vài bước chân.",50.0,4.0,,6.0,
,,87.0,,,,
8.1,,48.0,,,5.0,
,"nhà hẻm 1 sẹc đường Bùi Quang Là, phường 12, Gò Vấp, sát mặt tiền.",94.0,3.0,,3.0,"3 tầng, 3 phòng ngủ, 4WC, sân thượng, xe hơi ngủ trong nhà"
,,,,,5.0,"5 tầng, 3 ngủ, mặt tiền 7,1m"
,,,,,4.0,
,,,,,,
,,,,,,
,,,4.0,,4.0,
,,,,,6.0,
,,,3.0,,,
13.0,,,,,,
,,,2.0,,,
,,,2.0,,,
,,,,,,
,"ngay gần ngay Đại học Ngân Hàng, ĐH Sư Phạm Kỹ Thuật, luôn kín phòng",,,,,
,,,,,,
,,40.0,,2.0,,
,,,,,3.0,
,,48.0,,,,
,"thuận tiện, gần đường sắt trên cao, cách 300m ra tới bến xe Yên Nghĩa, trường cấp 123",30.0,,,5.0,
,,,3.0,,,
,đẹp hiếm nhà bán kinh doanh gì cũng có thu nhập.,140.0,7.0,,3.0,
,,,,,6.0,
,,,,,4.0,
,,,,,2.0,"2 tầng, 1 lửng đầy đủ công năng sử dụng, pk, khu bếp, 2 ngủ, 2 wc, khu giặt phơi phóng đầy đủ."
,,58.0,4.0,,5.0,"5 tầng, 4 phòng ngủ, sân thượng trước, sau, xe hơi ngủ nhà. Nhà còn mới vào ở ngay."
,,,1.0,,,
4.55,,,,,,
16.0,"cực đẹp, nhà phố riêng biệt nằm trong khu Biệt Thự cao cấp Q2 nên rất an ninh.",,,,,
,,50.0,,,5.0,
,ngay gần sông SG  Cầu Bình Triệu  Vòng xoay Bình Triệu,,,,,
,"mặt tiền kinh doanh cạnh Lũy Bán Bích, gần Đầm Sen, Q6, Q11,..",,,,,
,"sát bên KDC Nam Long, gần Nhà thi đấu đa năng Quận 7, trường cấp 123, Trung cấp nghề Nguyễn Hữu Cảnh..., Bệnh viện Quận 7",,4.0,,3.0,
,"gần công viên Làng Hoa, UB phường 8, trường THPT Nguyễn Công Trứ, thông Nguyễn Văn Khối.",53.0,3.0,,5.0,
,,,,,,
,,,2.0,,,
,,,,,,
,"đẹp , gần trường học , gần chợ Xóm Tiêu",,,,,
,,,2.0,,,
,,,4.0,,4.0,"4 tầng, xây dựng kiến cố, chắc chắn, tổng có 4 phòng ngủ, phòng khách, bếp"
,,,,,4.0,
21.5,"đẹp nhất Hoàng Như Tiếp, gần bệnh viện Tâm Anh, khu vực cực sầm uất, kinh doanh đắc địa",,,,,
15.5,"hàng xóm Vinhomes Riverside, khu đô thị mới Việt Hưng rất sầm uất, thông các tuyến phố Chu Huy MânViệt HưngSài Đồng, gần trụ sở công an quận Long BiênUBND quận Long BiênBệnh viện đa khoa Đức Giang",,,,5.0,
8.0,"khu vực Nguyễn LamChu Huy MânMai Phúc, hàng xóm Vinhomes Riverside, cách cầu Vĩnh Tuy 1km",,,,,
2.7,,,3.0,3.0,4.0,"4 tầng, Ngang 4m"
,,,,,,
,"gần Nguyễn Văn Khối, trường Tiểu học An Hội, THCS Phạm Văn Chiêu. Thuận tiện đi vào các quận Tân Bình, Tân Phú, 11, 12, v.v.",50.0,3.0,,,
,"mặt tiền đường Số 4 phường 11 Gò Vấp. Thuận tiện giao thông, vừa ở vừa kinh doanh.",42.0,3.0,,4.0,
,"ngay chợ Phạm Văn Hai nhộn nhịp, gần Q.10, Phú Nhuận.",,,,,
,,,,,,
,,,,,4.0,"4 tầng, móng 6 tầng"
,,,,,,
,,47.0,,,6.0,
,"kinh doanh thỏai mái, chủ lúc trước cho thuê làm văn phòng, vừa ở vừa cho thuê thỏa mái.",,,,,
,,,,,3.0,
,,,,,5.0,
,,,,,5.0,"5 tầng, thiết kế hiện đại, được xây dựng chắc chắn, gồm các phòng ngủ, phòng khách, phòng ăn, bếp, wc, khách mua chỉ việc sách vani về ở."
,"nhà nằm tại tuyến đường Giáp Bát, gần với các tuyến đường Trương Định, Kim Đồng, Tân Mai, Minh Khai, Trường Chinh, gần ngay KĐT Pháp Vân, bx Nước ngầm, KĐT Linh Đàm với cơ sở hạ tầng giao thông thuận tiện của Q. Hoàng Mai gồm nhiều trường học Bách khoa,Xây dựng, Kinh tế, bệnh viện Bạch Mai, mắt Trung ương, Thanh Nhàn và tiện ích xung quanh TTTM Time city",,,,4.0,
,,,,,4.0,
,,100.0,,,,
,,66.0,,,,
,,,,,,
,,,,,,
,,,,,3.0,
,,100.0,,,,
,"Mặt tiền đường xe tải thông các hướng ra đường Tô Ngọc Vân, QL 1A . Ngay Cty Điện lực Thủ Đức, cây xăng Tam Bình...........",,,,,
,,,,,,
,,,3.0,,,
,"Gần uỷ ban,chợ,cách đường Bùi Hữu Nghĩa khoảng 60m",,3.0,,,
,,,,,,
,"Gần trường tiểu học Hiệp Hoà,cách đường Đỗ Văn Thi Khoảng 200m",,2.0,,,
,"đắc địa kinh doanh cực tốt ngay gần Đường Mai Hăc Đế, ,chợ Hà Thân.",58.0,,,,
,"sau lưng Gigamall 50m, cách Phạm Văn Đồng chỉ 200m",,,,,
,"đẹp gần võ nguyên giáp, biển mỹ khê. Chợ bắc mỹ an, ks pull man, Furama, Village.",100.0,,,4.0,
,,,,,,
,,,,,5.0,
,,75.0,,,4.0,
,,96.0,,,,
,"sát mặt tiền, cách hẻm xe hơi 10m, gần chợ, trường học, Ủy Ban Nhân Dân Phường, tiện ích xung quanh không thiếu gì, giáp Tân Bình, Quận 11.",,,,,
,,47.0,,,4.0,
,,,4.0,,2.0,"2 tầng, 4 phòng ngủ, phòng thờ, sân phơi đầy đủ."
,"sát mặt tiền, cách hẻm xe hơi 10m, gần chợ, trường học, Ủy Ban Nhân Dân Phường, tiện ích xung quanh không thiếu gì, giáp Tân Bình, Quận 11.",,,,,
,"sát mặt đường Võ Chí Công, ra Hồ Tây , quảng trường 2 con rồng vài trăm mét.",,,,3.0,
,,,1.0,,6.0,
,,,4.0,,,
,,,4.0,,4.0,"4 tầng, diện tích rộng rãi như khu liền kề đô thị mới, thiết kế khoa học, gồm 4 phòng ngủ, khòng khách, bếp, wc"
,"gần siêu thị, chợ, trường học các cấp, bệnh viện, công viên Làng Hoa, dịch vụ tiện ích xung quanh bao la. Thuận tiện giao thông.",55.0,4.0,,4.0,"4 tầng, 4 phòng ngủ, 5WC."
,,,3.0,,,
,,,,,,
,,75.0,,,4.0,
,khoảng 100m ra mặt tiền. Hẻm 1 trục thẳng dễ tìm nhà,82.0,,,2.0,
,khoảng 100m ra mặt tiền. Hẻm 1 trục thẳng dễ tìm nhà,82.0,,,2.0,
,,,5.0,,4.0,
4.4,,44.0,,,4.0,
2.0,,,,,,
,,,,,,
,"đắc địa, đường rộng vỉa hè 2 bên kinh doanh đa dạng",,,,,
,,40.0,,,3.0,
,,,,,,
,,,,,,
,,,4.0,,4.0,"4 tầng, chủ tự xây, khung cột chắc chắn, bao gồm 4 phòng ngủ, phòng khách, bếp, wc, phòng thờ, sân phơi, đáp ứng đầy đủ cho một gia đình 3 thế hệ."
,"mặt phố Cổ Linh, cách Aeon Mall, cầu Vĩnh Tuy 500m",,,,,
,,,,,,
,,,,,4.0,"4 tầng, thiết kế rất hiện đại và tiện nghi, đáp ứng mọi nhu cầu của gia đình, các phòng được bố trí khoa học, tiện lợi gồm các phòng ngủ, phòng khách, bếp, wc"
,trung tâm tiện ích xung quanh đầy đủ,,3.0,2.0,,
,,,,,5.0,
,"đẹp lung linh  đường xe tải dừng đỗ vào nhà nếu muốn , khu vực cực kì phát triển .",,,,,
,,,1.0,,7.0,
,,,,,4.0,
,,,,,,
,,,,,,
,"gần cầu thuận phước, chợ mai, trường học, ubnd.",110.0,3.0,,,
,,,,,4.0,
,,,,,,
,,,,,4.0,
,"Phan Đình Phùng, Phường 1, Phú Nhuận",,,,,
,,,,,4.0,
3.5,"Trần Kế Xương, Phường 7, Quận Phú Nhuận.",,,,3.0,
,,40.0,4.0,,3.0,
,"nhà hẻm, đường Quang Trung Phường 11 Gò Vấp, gần chợ  Nhà thờ Hạnh Thông Tây, siêu thị Coopmart, CA  Bệnh viện Quận, trường học các cấp, khu vực không lo thiếu dịch vụ tiện ích.",66.0,,,,
,"hẻm an ninh, sạch sẽ, gần mặt tiền Thạch Lam, ngay khu bàn cờ Thạch LamLê KhôiĐỗ Bí,.",,,,,
,"hẻm an ninh, sạch sẽ, gần mặt tiền Thạch Lam, ngay khu bàn cờ Thạch LamLê KhôiĐỗ Bí,.",,,,,
4.4,"đẹp, khu vực trung tâm, cách mặt phố Trần Phú 100m.",34.0,,,3.0,
,"quá đỉnh, cách ô tô 100m, ba phút đi bộ ra nhà Văn hóa, sân bóng, Chợ, Trường hích..,",,,,,
,trước nhà ngõ rộng ba gác đậu cửa cách phố vài bước chân.,,2.0,,,
,"hẻm 3 gác Lũy Bán Bích, gần Đầm Sen, UB Quận,..",,,,2.0,
,"hẻm 3 gác Lũy Bán Bích, gần Đầm Sen, UB Quận,..",,,,2.0,
,,90.0,,,,
,,,,,,
,,,3.0,,5.0,
,,,,,5.0,"5 tầng, 32m2, cách mặt phố 3m, sổ mặt phố, siêu hiếm"
,"Ngõ ba gác đua, cách ô tô tránh 30m, kinh doanh nhỏ như gội đầu làm nail... đi bộ hơn trăm mét ra Rạp Xiếc TW, 200m Công viên Thống Nhất  Hồ Bảy Mẫu.",,,,5.0,
,,,,,,
,"đẹp đông đúc người qua lại, thuận lợi cho thuê làm văn phòng, kinh doanh buôn bán đa ngành nghề..",,,,,
,,,3.0,,4.0,"4 tầng, chủ tự xây nên rất chắc chắn, gồm 3 phòng ngủ rộng, phòng khách, bếp, phòng ăn, đầy đủ công năng sử dụng."
,"Gần cầu Hiệp Hoà,cách đường Đỗ Văn Thi Khoảng 200m",,3.0,,,
,"Gần KDL Bửu Long,cách đường Huỳnh Văn Nghệ khoảng 300m",,,,,
,"gần trường cấp 1,2,3 Phú Thượng, cận kề đường đôi khu đô thị mới Ciputra, The Sunshine. Nhà gần chợ đầy đủ tiện ích, không gian quanh nhà yên tĩnh do mật độ dân cư không quá đông đúc, các nhà xung quanh đều rất rộng và có vườn.",,5.0,,5.0,
,,,,,4.0,
,,,,,5.0,
,,,4.0,,3.0,
8.71,,,4.0,5.0,,
,,161.0,,,,
,,,,,,
,,,,,,
,,,,,,
,"nằm ngay 2 tuyến phố lớn Hào Nam và Giảng Võ, khu vực trung tâm quận.",,4.0,,5.0,
,"Hẻm trước nhà 3m, cách đường Bùi Minh Trực 50m, gần chợ Sáng, cầu Nhị Thiên Đường, tiện lưu thông qua các tuyến đường và các Quận tiếp giáp.",,,,,
,"Mặt tiền đường rộng 8m, cách mặt tiền đường Tạ Quang Bửu 30m, gần chung cư Giai Việt, cầu Chánh Hưng, tiện lưu thông qua Quận 1, 4, 5, 10, chỉ mất vài phút.",,,,,
,,,2.0,,,
,,,,,,
,,,,,5.0,
,"MTKD Tân Phú, khu vip, công năng, tiện ích bao quanh, đâu tư, kinh doanh, cho thuê DV, giá siêu rẻ.",,,,,
,"nhà hẻm đường Số 21 phường 8 Gò Vấp, gần trường cấp 3 Nguyễn Công Trứ, trường cấp 1 Lương Thế Vinh.",37.0,4.0,,4.0,"4 tầng, 4 phòng ngủ, đầy đủ công năng sử dụng. Nhà còn mới vào ở ngay."
,,,,,4.0,
,,,,,,
,"cách mặt tiền đường Nguyễn Văn Khối khoảng 30m, khu vực dân cư đông đúc, nhiều dịch vụ tiện ích. Gần công viên Làng Hoa, siêu thị Bách Hóa Xanh, trường học các cấp, chợ Hạnh Thông Tây, Bệnh viện Quận  Hồng Đức, CA, UB, v.v.",52.0,5.0,,4.0,"4 tầng, 5 phòng ngủ"
,,,2.0,2.0,,
,,,2.0,3.0,,
,"Toạ lạc ngay Tân Kỳ Tân Quý  Gò Xoài, thông Lê văn quới, kết nối Tân phú, khu vip Aeon rất gần.",,,,,
,,,2.0,,,
,,,,,5.0,
,"đẹp miễn chê, ngay góc công viên Dương Quảng Hàm.",,,,,
,,,,,4.0,
,,,,,,
,đẹp thuận tiện Kinh doanh..,,,,,
,,,,,,
,,,,,,
,,,,,,
,"gần UBND, đồn Công An, trường cấp 1,2,3.",,4.0,,4.0,
,,,4.0,,4.0,"4 tầng, được thiết kế hiện đại, cực kỳ tiện nghi, gồm 4 phòng ngủ đẹp, phòng khách, phòng ăn, bếp, vệ sinh"
5.0,,,,,,
,,,4.0,,4.0,
,"vip, mặt ngõ HỒNG MAI thông với Bạch Mai AN SINH ĐỈNH, thoáng mát sạch đẹp.",,,,,
,"cách đg tròn Điềm thụy 700m, cách kcn Điềm Thụy 1km, gần chợ, gần trường học, gần UBND xã, gần trạm y tế",,,,,
,,,,,4.0,"4 tầng, chủ tự xây dựng rất tâm huyết, ở được vài năm, nay muốn bán để chuyển ra mặt phố, tiện cho việc kinh doanh của gia đình."
,,,,,3.0,
,,,,,,
,,,1.0,,2.0,
,,,,,5.0,
,"gần mặt tiền đường Lê Văn Thọ, khu vực dân cư đông đúc, đầy đủ dịch vụ tiện ích chợ, trường, hàng quán, v.v.",57.0,3.0,,,
,"gần ngã tư Minh Mạng, Lê Văn Hiến, gần biển sơn thủy.",100.0,,,5.0,
,,,,,,
,,,2.0,2.0,,
,,,,,,
,,,,,,
,,,2.0,,,
,,,,,,
,,31.0,,,,
,,31.0,,,,
4.2,,30.0,,,5.0,
,,,,,,
,,,,,4.0,"4 tầng, chủ tự xây, khung cột chắc chắn, gồm các phòng ngủ, phòng khách, bếpăn, vệ sinh"
,,,,,,
,"mặt tiền kinh doanh cạnh Lũy Bán Bích, gần Đầm Sen, Q6, Q11,..",,,,,
,"nhà nằm tại tuyến đường Bạch Mai gần với các phố Minh Khai, Đại La Trần Đại nghĩa, Trường Chinh, Trần Khát Chân, sát cạnh quận Hoàn Kiếm, Hoàng Mai, Thanh Xuân",,,,5.0,
,,,,,5.0,
,,,,,4.0,
,,,,,5.0,
,,,,,5.0,
,"Gần uỷ ban phường,ngay khu cư xá phúc hải,cách đường Nguyễn Ái Quốc khoảng 500m",,2.0,,,
,,,,,,
,,,,,5.0,
,,,,,5.0,
3.0,,89.0,,,5.0,
,"thuận tiện, gần trường ĐH Công nghiệp, Học viện Khoa học quân sự, Đầu tuyến tàu trên cao Nhổn  Ga Hà Nội",,,,4.0,
,,,,,2.0,
52.5,,,,,2.0,
,,,,,,
,,,4.0,,,
,,,,,,
,"ngay Chợ Phan Anh, giáp Ngã Tư Bốn Xã, Tân Phú, Q6, Quận 11, trường học, ngân hàng, bệnh viện,.",,,,,
,hẻm 20 đường số 4 Phường Linh Tây TP.Thủ Đức  Ngay trụ sở khu phố 3,,3.0,,,
,,,1.0,,,
,,,,,,
,,,,,,
,"ngay Chợ Phan Anh, giáp Ngã Tư Bốn Xã, Tân Phú, Q6, Quận 11, trường học, ngân hàng, bệnh viện,.",,,,,
,,,,,2.0,
,,,4.0,,4.0,
,"đẹp, phù hợp , văn phòng, spa, tóc, nail",,,,,
,,,,,,
,,,,,,
,"siêu đẹp, mấy bước chân ra ô tô dừng đỗ, bãi ô tô gần nhà.",,,,3.0,"3 tầng, diện tích 30m2 tại La Phù Hoài Đức"
,,,,,,
16.0,,,6.0,,,
,,,,,,
,,,2.0,,,
,,200.0,,,,
,"Mặt tiền Đường Cầu Kinh, Lô Góc thêm Mặt tiền Võ Trần Chíđường dẫn Cao Tốc Trung Lương. Gần khu Tên Lửa. Tiện di chuyển vê Miền Tây...,",,,,2.0,
,"mặt tiền đường số 4, khu công nghiệp Tân tạo, sát đường trần văn giàu và nguyễn cửu phú",,4.0,,,
,,,1.0,,,
,,,2.0,,2.0,
,"Ngay Aeon Tên Lửa, 5 phút qua trung tâm.",,,,,
,"Đường số 16 trung tâm khu dân cư Tên Lửa, KD sầm uất.",,,,,
,"sát hẻm 8m Lê Đình Cẩn, Tân Tạo, Bình Tân.",,,,,
,,,1.0,1.0,2.0,"2 tầng, 1 trệt 1 lầu, 1 phòng ngủ, 1 toilet."
,,,,,4.0,"4 tầng, vuông vắn, đủ công năng."
,"đẹp, mặt tiền nhựa Tân Bình, kinh doanh đa nghành nghề, gần Phạm Văn Bạch, Hoàng Bật Đạt.",,2.0,,,
,,,,,,
4.6,"Khu dân cư an ninh, dân trí cao, văn minh, sạch sẽ.",,,,,
,,,,,,
4.7,"Khu dân cư an ninh, dân trí cao, văn minh, sạch sẽ.",,4.0,5.0,,
,"nhà gần chợ, trường học giao thông thuận tiện nơi tập trung đông sinh viên thuê.",,,,5.0,
,trung tâm đẹp nhất Phú Quốc,,,,,
10.5,"Khu dân cư an ninh, dân trí cao, văn minh, sạch sẽ.",,,,,
,"Đắc địa, mặt tiền đường 16m, thông tứ hướng, gần bệnh viện Quận 8, trường ĐH Công Nghệ SG, lưu thông dễ dàng qua các tuyến đường và các Quận lân cận.",,,,,
,"Hẻm trước nhà gần 4m, cách hẻm xe hơi chỉ vài bước chân, thông nhiều hướng, gần TTTM, trường học Quốc Tế, xe cộ tiện ra vào, lưu thông dễ dàng sang các Quận tiếp giáp.",,,,,
4.5,"Khu dân cư an ninh, dân trí cao, văn minh, sạch sẽ.",,,,,
,,,,,,
,"gần trường Thủ Đức , chợ Bắc Ninh , Vincom Thủ Đức , Sư phạm kĩ Thuât...",65.0,,,,
4.35,"Khu dân cư an ninh, dân trí cao, văn minh, sạch sẽ.",,,,,
,"Hẻm 3m, 1 xẹc ngắn gần chợ Tân Trụ, gần Trường Chinh,",74.0,,,,
,,,,,4.0,
,"ngay Luỹ Bán Bích, CV Đầm San Park, giáp Tân Bình, thuận tiện di chuyển vào trung tâm.",76.0,,,,
,,,,,,
,,,,,,
,Khu vực Hồng TiếnNguyễn Văn CừHoàng Như Tiếp,,,,5.0,"5 tầng, 6 ngủ khép kín, dòng tiền 50trtháng"
,"đẹp, đường 12m vài bước chân ra Đường số 7 mọi dịch vụ nhà hàng, văn phòng, công ty... khách sạn kinh doanh tốt doanh thu 120 triệu 1 tháng đường số thông, an ninh.",,,,,
,"ngay khu Vip Quận Bình Tân, khu vực sầm uất kinh doanh đỉnh. , ,",,,,,
10.5,"khu vực Ngọc Thuỵ, cách Mipec Long Biên, cầu Long Biên 500m",,,,5.0,"5 tầng, 4 ngủ, ô chờ thang máy"
,"đẹp, kinh doanh sầm uất, đi bộ xuống bãi biển",,5.0,,,
,"Đường số 12 song song với đường vành đai trong, trung tâm KDC Tên Lửa,",,,,,
,,,3.0,,2.0,
,,,,,,
,,,,,,
,,,,,,
,,,2.0,,,
,"Phường 8, Gò Vấp, gần Lê Văn Thọ, Nguyễn Văn Khối.",,2.0,,,
,,,,,,
,đẹp cho thuê hoặc kinh doanh làm văn phòng.,,5.0,5.0,5.0,
,,,,,,
,,,,,,
,,,,,,
,,90.0,,,4.0,
,,,6.0,,,
,,,4.0,,,
,,,,,,
,,59.0,5.0,4.0,5.0,
,,,3.0,,,
,,80.0,,,5.0,
,,70.0,,,,
,"giáp Tân Sơn Nhì, Nguyễn Cửu Đàm khu Vip Tân Phú.",,,,,
,,,1.0,,5.0,
,,,,,,
,,,6.0,,5.0,
,,90.0,,,3.0,
,"trung tâm cách đường Nguyễn Văn Trỗi, cầu Công Lý 100m",,4.0,,,
,"giao thoa kết nối đi Hà Nội, Hải Phòng, Sân bay Nội Bài.",,,,,
,nhà ở hẻm 49 đường số 47 Phường Hiệp Bình Chánh Thủ Đức,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
7.0,,,,,3.0,
,,,,,,
,,,,,5.0,
,,,,,5.0,
,,45.0,,,5.0,
,,,,,,
5.0,"đẹp cách mặt tiền Bùi Văn Hoà tầm 50m. hẻm thông rộng 2 xe hơi, khu quân đội an ninh tốt",,,,,
,,,,,,
,,,,,5.0,
,,,2.0,,,
